Smartphone,Features,Price
OPPO F17,"7.45mm Ultra-sleek Leather-feel Body
					AI Ultra-Wide Quad Camera
					30W VOOC Flash Charge 4.0
					6.44"" Super AMOLED Display
					In-display fingerprint Unlock
					Snapdragon 662 Processor
					6GB + 128GB
					ColorOS 7.2",17990
Realme 7 Pro,"Qualcomm Snapdragon 720G
					6 GB RAM
					128 GB internal storage
					4500 mAh battery
					Quad (64 8 2 2) MP Rear
					32 MP Front Camera rear
					6.4 inches (16.26 cm) Screen
					Dual, Nano-Nano SIM
					Android v10 (Q)",20850
Realme 7,"MediaTek Helio G95
					6 GB RAM
					64 GB internal storage
					5000 mAh battery
					Quad (64 8 2 2) MP Rear
					16 MP Front Camera rear
					6.5 inches (16.51 cm) Screen
					Dual, Nano-Nano SIM
					Android v10 (Q)",16890
